term,normalized_term,category,source,risk_level,action,confidence,notes
8200,8200,sensitive_unit,atlas_seed_blacklist,96,BLOCK,0.95,Publicly known intelligence unit number
9900,9900,sensitive_unit,atlas_seed_blacklist,95,BLOCK,0.95,Publicly known intelligence/geospatial unit number
504,504,sensitive_unit,atlas_seed_blacklist,94,BLOCK,0.95,Publicly known human intelligence unit number
"רמטכ""ל",רמטכל,senior_rank,atlas_seed_blacklist,98,BLOCK,0.95,Senior command rank/title
אלוף,אלוף,senior_rank,atlas_seed_blacklist,95,BLOCK,0.95,Senior military rank
"תא""ל",תאל,senior_rank,atlas_seed_blacklist,94,BLOCK,0.95,Senior military rank abbreviation
תת אלוף,תת אלוף,senior_rank,atlas_seed_blacklist,94,BLOCK,0.95,Senior military rank
"חמ""ל",חמל,operations,atlas_seed_blacklist,93,BLOCK,0.95,Operations room terminology
"תצ""א",תצא,intelligence,atlas_seed_blacklist,92,BLOCK,0.95,Aerial imagery intelligence abbreviation
קריפטוגרפיה,קריפטוגרפיה,intelligence,atlas_seed_blacklist,90,BLOCK,0.95,Sensitive cryptography/security terminology
מודיעין,מודיעין,intelligence,atlas_seed_blacklist,91,BLOCK,0.95,Intelligence terminology
מבצעים,מבצעים,operations,atlas_seed_blacklist,90,BLOCK,0.95,Operational activity terminology
פיקוד,פיקוד,command,atlas_seed_blacklist,90,BLOCK,0.95,Command structure terminology
מפקדה,מפקדה,command,atlas_seed_blacklist,88,BLOCK,0.95,Command headquarters terminology
סייבר,סייבר,intelligence,atlas_seed_blacklist,86,BLOCK,0.95,Potentially sensitive security domain
לוחמה,לוחמה,operations,atlas_seed_blacklist,86,BLOCK,0.95,Operational military activity
כוננות,כוננות,operations,atlas_seed_blacklist,84,BLOCK,0.95,Operational readiness terminology
חירום מבצעי,חירום מבצעי,operations,atlas_seed_blacklist,90,BLOCK,0.95,Operational emergency phrase
נוהל קרב,נוהל קרב,operations,atlas_seed_blacklist,92,BLOCK,0.95,Operational procedure phrase
חדר מצב,חדר מצב,operations,atlas_seed_blacklist,84,BLOCK,0.95,Situation room phrase
מבצע,מבצע,operations,atlas_seed_blacklist,92,BLOCK,0.95,Standalone operation term
שם מבצע,שם מבצע,operations,atlas_seed_blacklist,94,BLOCK,0.95,Operation-name phrase
חדר מבצעים,חדר מבצעים,operations,atlas_seed_blacklist,94,BLOCK,0.95,Operations room phrase
"חמ""ל מבצעים",חמל מבצעים,operations,atlas_seed_blacklist,96,BLOCK,0.95,Operations war room phrase
מבצעים חשאיים,מבצעים חשאיים,operations,atlas_seed_blacklist,96,BLOCK,0.95,Covert operations phrase
"סד""כ",סדכ,force_structure,atlas_seed_blacklist,93,BLOCK,0.95,Order-of-battle acronym
סדר כוחות,סדר כוחות,force_structure,atlas_seed_blacklist,93,BLOCK,0.95,Order-of-battle phrase
"רע""נ",רענ,senior_role,atlas_seed_blacklist,91,BLOCK,0.95,Branch chief acronym
ראש ענף,ראש ענף,senior_role,atlas_seed_blacklist,91,BLOCK,0.95,Branch chief role
"רמ""ח",רמח,senior_role,atlas_seed_blacklist,92,BLOCK,0.95,Department head acronym
ראש מחלקה,ראש מחלקה,senior_role,atlas_seed_blacklist,92,BLOCK,0.95,Department head role
"רמ""ט",רמט,senior_role,atlas_seed_blacklist,92,BLOCK,0.95,Chief of staff acronym
ראש מטה,ראש מטה,senior_role,atlas_seed_blacklist,92,BLOCK,0.95,Chief of staff role
"רמ""א",רמא,senior_role,atlas_seed_blacklist,90,BLOCK,0.95,Senior staff role acronym
"רל""ש",רלש,senior_role,atlas_seed_blacklist,90,BLOCK,0.95,Bureau chief acronym
ראש לשכה,ראש לשכה,senior_role,atlas_seed_blacklist,90,BLOCK,0.95,Bureau chief role
"קמב""ץ",קמבץ,operations_role,atlas_seed_blacklist,92,BLOCK,0.95,Operations officer acronym
"מח""ט",מחט,command_role,atlas_seed_blacklist,93,BLOCK,0.95,Brigade commander acronym
מפקד חטיבה,מפקד חטיבה,command_role,atlas_seed_blacklist,93,BLOCK,0.95,Brigade commander role
"מג""ד",מגד,command_role,atlas_seed_blacklist,93,BLOCK,0.95,Battalion commander acronym
מפקד גדוד,מפקד גדוד,command_role,atlas_seed_blacklist,93,BLOCK,0.95,Battalion commander role
בכיר,בכיר,senior_role,atlas_seed_blacklist,88,BLOCK,0.95,Senior-only role marker
בכירים,בכירים,senior_role,atlas_seed_blacklist,90,BLOCK,0.95,Senior-only role marker
בכירים בלבד,בכירים בלבד,senior_role,atlas_seed_blacklist,92,BLOCK,0.95,Senior-only access phrase
"רנ""ג",רנג,senior_rank,atlas_seed_blacklist,90,BLOCK,0.95,Senior NCO rank acronym
רב נגד,רב נגד,senior_rank,atlas_seed_blacklist,90,BLOCK,0.95,Senior NCO rank
"מצו""ב",מצוב,sensitive_unit,atlas_seed_blacklist,94,BLOCK,0.95,Sensitive technology/cyber unit acronym
לוטם,לוטם,sensitive_unit,atlas_seed_blacklist,92,BLOCK,0.95,IDF technology unit
יחידה 3060,יחידה 3060,sensitive_unit,atlas_seed_blacklist,93,BLOCK,0.95,Publicly known technology unit number phrase
3060,3060,sensitive_unit,atlas_seed_blacklist,90,BLOCK,0.95,Publicly known technology unit number
שייטת 13,שייטת 13,special_unit,atlas_seed_blacklist,96,BLOCK,0.95,Elite naval unit
שייטת,שייטת,special_unit,atlas_seed_blacklist,92,BLOCK,0.95,Naval squadron/unit term
"סיירת מטכ""ל",סיירת מטכל,special_unit,atlas_seed_blacklist,96,BLOCK,0.95,General Staff reconnaissance unit
סיירת,סיירת,special_unit,atlas_seed_blacklist,88,BLOCK,0.95,Reconnaissance unit term
שלדג,שלדג,special_unit,atlas_seed_blacklist,95,BLOCK,0.95,Elite unit
669,669,special_unit,atlas_seed_blacklist,94,BLOCK,0.95,Elite rescue unit number
דובדבן,דובדבן,special_unit,atlas_seed_blacklist,93,BLOCK,0.95,Commando unit
מגלן,מגלן,special_unit,atlas_seed_blacklist,93,BLOCK,0.95,Commando unit
אגוז,אגוז,special_unit,atlas_seed_blacklist,93,BLOCK,0.95,Commando unit
"יהל""ם",יהלם,special_unit,atlas_seed_blacklist,93,BLOCK,0.95,Combat engineering special unit
עוקץ,עוקץ,special_unit,atlas_seed_blacklist,90,BLOCK,0.95,Special unit
רוכב שמיים,רוכב שמיים,special_unit,atlas_seed_blacklist,90,BLOCK,0.95,Sky Rider unit
קומנדו,קומנדו,special_unit,atlas_seed_blacklist,91,BLOCK,0.95,Commando term
חטיבת הקומנדו,חטיבה הקומנדו,special_unit,atlas_seed_blacklist,93,BLOCK,0.95,Commando brigade
גולני,גולני,combat_brigade,atlas_seed_blacklist,91,BLOCK,0.95,Combat brigade name per user policy
חטיבת גולני,חטיבה גולני,combat_brigade,atlas_seed_blacklist,92,BLOCK,0.95,Combat brigade phrase per user policy
גבעתי,גבעתי,combat_brigade,atlas_seed_blacklist,91,BLOCK,0.95,Combat brigade name per user policy
חטיבת גבעתי,חטיבה גבעתי,combat_brigade,atlas_seed_blacklist,92,BLOCK,0.95,Combat brigade phrase per user policy
"נח""ל",נחל,combat_brigade,atlas_seed_blacklist,91,BLOCK,0.95,Combat brigade name per user policy
"חטיבת הנח""ל",חטיבה הנחל,combat_brigade,atlas_seed_blacklist,92,BLOCK,0.95,Combat brigade phrase per user policy
כפיר,כפיר,combat_brigade,atlas_seed_blacklist,91,BLOCK,0.95,Combat brigade name per user policy
חטיבת כפיר,חטיבה כפיר,combat_brigade,atlas_seed_blacklist,92,BLOCK,0.95,Combat brigade phrase per user policy
צנחנים,צנחנים,combat_brigade,atlas_seed_blacklist,91,BLOCK,0.95,Combat brigade name per user policy
חטיבת הצנחנים,חטיבה הצנחנים,combat_brigade,atlas_seed_blacklist,92,BLOCK,0.95,Combat brigade phrase per user policy
מספן,מספן,naval_structure,atlas_seed_blacklist,91,BLOCK,0.95,Navy organizational structure
להק,להק,airforce_structure,atlas_seed_blacklist,91,BLOCK,0.95,Air force wing/group term
פלגה,פלגה,naval_structure,atlas_seed_blacklist,90,BLOCK,0.95,Naval/company structure term
פלגת,פלגת,naval_structure,atlas_seed_blacklist,90,BLOCK,0.95,Construct form of naval/company structure term
"מפח""י",מפחי,command_structure,atlas_seed_blacklist,92,BLOCK,0.95,Command structure acronym
חטיבת המבצעים,חטיבה מבצעים,operations,atlas_seed_blacklist,95,BLOCK,0.95,Operations brigade/division phrase
הקריה,הקריה,sensitive_location,atlas_seed_blacklist,93,BLOCK,0.95,MoD/IDF HQ area
מחנה רבין,מחנה רבין,sensitive_location,atlas_seed_blacklist,93,BLOCK,0.95,IDF/MoD HQ camp
גלילות,גלילות,sensitive_location,atlas_seed_blacklist,91,BLOCK,0.95,Sensitive location/base area
נבטים,נבטים,sensitive_location,atlas_seed_blacklist,91,BLOCK,0.95,Airbase location
חצרים,חצרים,sensitive_location,atlas_seed_blacklist,91,BLOCK,0.95,Airbase location
פלמחים,פלמחים,sensitive_location,atlas_seed_blacklist,91,BLOCK,0.95,Airbase/base location
רמת דוד,רמת דוד,sensitive_location,atlas_seed_blacklist,91,BLOCK,0.95,Airbase location
בצת,בצת,sensitive_location,atlas_seed_blacklist,88,BLOCK,0.95,Sensitive location
הבור,הבור,operations_infrastructure,atlas_seed_blacklist,93,BLOCK,0.95,Command bunker phrase
מתקן כליאה,מתקן כליאה,sensitive_location,atlas_seed_blacklist,88,BLOCK,0.95,Detention facility phrase
בסיס 512,בסיס 512,sensitive_location,atlas_seed_blacklist,92,BLOCK,0.95,Sensitive base number phrase
512,512,sensitive_location,atlas_seed_blacklist,86,BLOCK,0.95,Sensitive base number when isolated
