combination,normalized_combination,category,source,risk,risk_level,action,confidence,notes
לשכת אלוף,לשכה אלוף,problematic_combination,atlas_seed_combinations,High,97,BLOCK,0.9,Senior rank office exposes command hierarchy
"חמ""ל צפון",חמל צפון,problematic_combination,atlas_seed_combinations,High,96,BLOCK,0.9,Operations room plus region exposes operational structure
מדור מבצעים,מדור מבצעים,problematic_combination,atlas_seed_combinations,High,94,BLOCK,0.9,Section plus operations exposes operational organization
פרויקט מודיעין,פרויקט מודיעין,problematic_combination,atlas_seed_combinations,High,93,BLOCK,0.9,Project plus intelligence creates sensitive context
בסיס 8200,בסיס 8200,problematic_combination,atlas_seed_combinations,High,98,BLOCK,0.9,Facility plus sensitive unit number
חדר מצב,חדר מצב,problematic_combination,atlas_seed_combinations,Medium,82,MANUAL_REVIEW,0.9,Situation-room phrase has operational semantics
יחידת מבצעים,יחידה מבצעים,problematic_combination,atlas_seed_combinations,High,94,BLOCK,0.9,Unit plus operations exposes operational structure
מפקדת פיקוד,מפקדה פיקוד,problematic_combination,atlas_seed_combinations,High,95,BLOCK,0.9,Headquarters plus command exposes hierarchy
תחקיר מבצעי,תחקיר מבצעי,problematic_combination,atlas_seed_combinations,High,90,BLOCK,0.9,Debrief plus operational context
תרגיל חטיבה,תרגיל חטיבה,problematic_combination,atlas_seed_combinations,Medium,84,MANUAL_REVIEW,0.9,Exercise plus formation indicates activity
אגף מודיעין,אגף מודיעין,problematic_combination,atlas_seed_combinations,High,94,BLOCK,0.9,Branch plus intelligence exposes organization
ענף סייבר,ענף סייבר,problematic_combination,atlas_seed_combinations,High,91,BLOCK,0.9,Branch plus cyber indicates sensitive capability
מחלקת קריפטוגרפיה,מחלקה קריפטוגרפיה,problematic_combination,atlas_seed_combinations,High,93,BLOCK,0.9,Department plus cryptography indicates sensitive capability
"לשכת רמטכ""ל",לשכה רמטכל,problematic_combination,atlas_seed_combinations,High,98,BLOCK,0.9,Chief-of-staff office exposes senior hierarchy
"לשכת רא""ל",לשכה ראל,problematic_combination,atlas_seed_combinations,High,97,BLOCK,0.9,Senior rank office exposes hierarchy
"לשכת תא""ל",לשכה תאל,problematic_combination,atlas_seed_combinations,High,95,BLOCK,0.9,Senior rank office exposes hierarchy
